fact_id,date_id,state_id,disease_id,source_id,population_under_surveillance,total_reported_cases,active_cases,recovered_cases,deaths,urban_cases,rural_cases,hospitalized_cases,icu_admissions,case_fatality_rate,recovery_rate,public_health_risk_score,report_date_raw
51,1,5,3,3,27514341,1779,365,1406.0,8.0,1180,599,437.0,71.0,0.45,79.03,33.0,2022-01-01
52,1,5,4,4,27231835,296,34,259.0,3.0,214,82,56.0,11.0,1.01,87.5,4.5,2022-01-01
53,1,5,5,4,27788714,549,119,427.0,3.0,286,263,57.0,7.0,0.55,77.78,12.1,2022-01-01
54,1,5,6,2,25984864,295,34,259.0,2.0,152,143,33.0,1.0,0.68,87.8,6.8,2022-01-01
55,1,5,7,1,26892554,588,50,524.0,14.0,391,197,106.0,13.0,2.38,89.12,17.6,2022-01-01
56,1,5,8,1,28517428,951,67,867.0,17.0,524,427,,60.0,1.79,91.17,21.7,2022-01-01
57,1,5,9,2,26463513,334,69,,6.0,124,210,21.0,5.0,1.8,77.54,8.9,2022-01-01
58,1,5,10,4,27639706,392,87,295.0,10.0,195,197,84.0,22.0,2.55,75.26,10.9,2022-01-01
59,1,5,11,4,26700381,90,0,87.0,3.0,56,34,18.0,2.0,3.33,96.67,13.6,2022-01-01
60,1,5,12,4,27441825,820,104,709.0,7.0,561,259,67.0,6.0,0.85,86.46,21.4,2022-01-01
61,1,6,1,5,1472638,119,19,100.0,0.0,77,42,15.0,1.0,0.0,84.03,36.5,2022-01-01
62,1,6,2,1,1478389,25,7,18.0,0.0,13,12,2.0,0.0,,72.0,8.7,2022-01-01
63,1,6,3,1,1447986,15,2,13.0,0.0,9,6,2.0,0.0,0.0,86.67,0.3,2022-01-01
64,1,6,4,5,1500909,28,5,23.0,0.0,15,13,5.0,1.0,0.0,82.14,12.8,2022-01-01
65,1,6,5,6,1402601,23,4,19.0,0.0,16,7,1.0,0.0,0.0,82.61,8.5,2022-01-01
66,1,6,6,3,1426725,21,1,20.0,0.0,12,9,2.0,0.0,0.0,95.24,1.6,2022-01-01
67,1,6,7,4,1591170,35,3,31.0,1.0,24,11,5.0,1.0,2.86,88.57,21.7,01/01/2022
68,1,6,8,6,1596298,27,3,24.0,0.0,16,11,3.0,0.0,,88.89,13.1,2022-01-01
69,1,6,9,3,1596529,32,6,,0.0,21,11,2.0,0.0,0.0,81.25,9.9,2022-01-01
70,1,6,10,2,1557419,16,2,14.0,0.0,10,6,1.0,0.0,0.0,87.5,9.2,2022-01-01
71,1,6,11,1,1537463,8,2,6.0,0.0,5,3,1.0,0.0,0.0,75.0,6.2,2022-01-01
72,1,6,12,3,1367105,57,7,50.0,0.0,31,26,12.0,0.0,0.0,87.72,19.6,2022-01-01
73,1,7,1,5,66073781,2106,367,1689.0,50.0,1455,651,464.0,63.0,2.37,80.2,20.1,2022-01-01
74,1,7,2,2,70386729,2165,-385,1713.0,,1379,786,144.0,19.0,3.09,79.12,27.7,2022-01-01
75,1,7,3,2,69505554,1803,212,1580.0,11.0,1060,743,449.0,101.0,0.61,87.63,13.6,2022-01-01
76,1,7,4,5,63465168,965,214,738.0,13.0,512,453,87.0,4.0,1.35,76.48,12.2,2022-01-01
77,1,7,5,5,69439724,522,56,453.0,13.0,231,291,55.0,15.0,2.49,86.78,9.4,2022-01-01
78,1,7,6,1,69072759,378,33,337.0,8.0,181,197,41.0,4.0,2.12,89.15,5.6,2022-01-01
79,1,7,7,3,68442581,929,47,856.0,,694,235,127.0,21.0,,92.14,16.7,2022-01-01
80,1,7,8,3,64412189,1619,192,1414.0,13.0,1185,434,unknown,24.0,0.8,87.34,14.0,2022-01-01
81,1,7,9,2,63140738,225,54,170.0,,119,106,22.0,1.0,0.44,75.56,3.1,2022-01-01
82,1,7,10,1,64239397,402,91,306.0,5.0,189,213,76.0,7.0,1.24,76.12,5.5,01-01-2022
83,1,7,11,4,68082936,666,147,499.0,20.0,321,345,100.0,17.0,3.0,74.92,13.0,2022-01-01
84,1,7,12,5,69664861,2399,442,1927.0,30.0,1058,1341,350.0,77.0,1.25,80.33,19.1,2022-01-01
85,1,8,1,2,25381375,318,61,249.0,8.0,228,90,18.0,1.0,,78.3,8.2,2022-01-01
86,1,8,2,5,28264356,247,44,198.0,5.0,170,77,40.0,7.0,2.02,80.16,5.4,2022-01-01
87,1,8,3,5,28833455,1452,51,1362.0,39.0,772,680,146.0,,2.69,93.8,34.2,2022-01-01
88,1,8,4,4,24903599,261,17,241.0,3.0,134,127,44.0,4.0,1.15,92.34,6.1,2022-01-01
89,1,8,5,5,28423234,86,19,67.0,0.0,55,31,16.0,3.0,0.0,77.91,0.0,2022-01-01
90,1,8,6,6,24636873,469,43,423.0,3.0,350,119,39.0,6.0,0.64,90.19,5.1,2022-01-01
91,1,8,7,3,24784002,984,46,932.0,6.0,589,395,222.0,,0.61,94.72,16.6,2022-01-01
92,1,8,8,6,25664635,616,27,575.0,14.0,272,344,33.0,6.0,2.27,93.34,21.2,2022-01-01
93,1,8,9,4,26382545,464,41,417.0,6.0,303,161,90.0,17.0,1.29,89.87,16.7,2022-01-01
94,1,8,10,4,27523991,537,58,464.0,15.0,379,158,70.0,5.0,2.79,86.41,16.6,2022-01-01
95,1,8,11,2,27744700,264,53,209.0,2.0,114,150,58.0,16.0,0.76,79.17,6.5,01/01/2022
96,1,8,12,1,28483724,1051,72,959.0,20.0,607,444,206.0,50.0,1.9,91.25,19.9,2022-01-01
97,1,9,1,2,6992647,323,66,256.0,1.0,239,84,64.0,3.0,0.31,79.26,21.8,2022-01-01
98,1,9,2,1,6717066,439,46,,5.0,259,180,72.0,,1.14,88.38,37.8,01/01/2022
99,1,9,3,6,6471738,168,36,130.0,2.0,81,87,13.0,2.0,1.19,77.38,19.6,01/01/2022
100,1,9,4,1,6489086,48,9,,1.0,26,22,4.0,0.0,2.08,79.17,9.2,2022-01-01
101,1,9,5,3,7042459,30,3,26.0,1.0,13,17,4.0,0.0,3.33,86.67,10.0,01/01/2022
102,1,9,6,2,6810423,166,1,160.0,5.0,67,99,39.0,2.0,3.01,96.39,18.4,2022-01-01
103,1,9,7,4,6844729,32,5,27.0,0.0,13,19,2.0,0.0,0.0,84.38,5.7,2022-01-01
104,1,9,8,2,6337117,180,27,151.0,2.0,77,103,36.0,,1.11,83.89,20.1,2022-01-01
105,1,9,9,5,6982718,145,9,135.0,1.0,76,69,12.0,1.0,0.69,93.1,9.5,2022-01-01
106,1,9,10,2,7056207,279,50,224.0,5.0,202,77,27.0,2.0,1.79,80.29,28.4,2022-01-01
107,1,9,11,4,6732823,263,30,228.0,5.0,105,158,36.0,2.0,1.9,86.69,28.2,2022-01-01
108,1,9,12,1,6557078,302,56,240.0,6.0,120,182,30.0,1.0,1.99,79.47,30.8,2022-01-01
109,1,10,1,3,35524116,2204,261,1910.0,33.0,1492,712,192.0,57.0,1.5,86.66,35.5,2022-01-01
110,1,10,2,4,37405148,891,202,678.0,11.0,533,358,105.0,26.0,1.23,76.09,17.7,2022-01-01
111,1,10,3,1,35463337,942,89,838.0,15.0,435,507,47.0,14.0,1.59,88.96,12.6,2022-01-01
112,1,10,4,6,36631118,261,38,218.0,5.0,167,94,61.0,7.0,,83.52,8.8,01-01-2022
113,1,10,5,4,35413373,699,100,576.0,23.0,481,218,59.0,12.0,3.29,82.4,14.3,2022-01-01
114,1,10,6,1,36062931,782,126,638.0,18.0,504,278,187.0,26.0,2.3,81.59,16.1,2022-01-01
115,1,10,7,2,33538422,863,110,726.0,27.0,442,421,154.0,20.0,3.13,84.13,20.0,2022-01-01
116,1,10,8,2,37793050,344,28,308.0,8.0,147,197,18.0,2.0,2.33,89.53,14.2,2022-01-01
117,1,10,9,3,33982604,365,68,295.0,2.0,226,139,28.0,3.0,0.55,80.82,10.5,2022-01-01
118,1,10,10,1,35124124,370,31,327.0,12.0,176,194,37.0,7.0,3.24,88.38,19.3,2022-01-01
119,1,10,11,5,34675628,1295,56,1220.0,19.0,938,357,222.0,35.0,1.47,94.21,24.7,01-01-2022
120,1,10,12,6,38473803,1152,178,948.0,26.0,828,324,113.0,31.0,2.26,82.29,25.1,2022-01-01
121,1,11,1,1,60074177,3268,384,2796.0,88.0,1986,1282,461.0,50.0,2.69,85.56,30.1,2022-01-01
122,1,11,2,2,65546759,2782,172,2585.0,25.0,982,1800,617.0,56.0,0.9,92.92,21.6,2022-01-01
123,1,11,3,4,61747195,3696,729,2866.0,101.0,1578,2118,473.0,141.0,2.73,77.54,32.1,2022-01-01
124,1,11,4,4,64187416,963,193,737.0,33.0,441,522,74.0,18.0,3.43,76.53,21.3,2022-01-01
125,1,11,5,2,67519305,288,44,242.0,,179,109,46.0,8.0,0.69,84.03,5.7,2022-01-01
126,1,11,6,4,57981390,1594,136,1450.0,8.0,851,743,391.0,50.0,0.5,90.97,12.5,2022-01-01
127,1,11,7,4,65586088,1013,40,945.0,,484,529,217.0,33.0,2.76,93.29,18.3,2022-01-01
128,1,11,8,6,57995464,1054,53,994.0,7.0,593,461,72.0,6.0,0.66,94.31,5.5,2022-01-01
129,1,11,9,5,66188521,352,77,266.0,9.0,146,206,63.0,16.0,2.56,75.57,6.8,2022-01-01
130,1,11,10,4,62572371,1734,349,1335.0,50.0,785,949,223.0,52.0,2.88,76.99,24.0,2022-01-01
131,1,11,11,3,59247594,3093,582,2468.0,43.0,1229,1864,283.0,67.0,1.39,79.79,22.9,2022-01-01
132,1,11,12,1,66333353,1157,21,1119.0,17.0,612,545,89.0,,1.47,96.72,11.9,2022-01-01
133,1,12,1,5,33295116,867,168,692.0,7.0,558,309,157.0,19.0,,79.82,15.2,01/01/2022
134,1,12,2,3,34403609,2859,676,2175.0,8.0,1298,1561,486.0,83.0,0.28,76.08,40.1,01/01/2022
135,1,12,3,5,30698854,1593,281,1289.0,23.0,916,677,245.0,31.0,1.44,80.92,28.4,2022-01-01
136,1,12,4,5,35354827,112,10,99.0,3.0,60,52,9.0,2.0,,88.39,9.4,2022-01-01
137,1,12,5,5,32608740,314,59,249.0,6.0,122,192,58.0,6.0,1.91,79.3,7.2,01-01-2022
138,1,12,6,2,33614147,284,43,233.0,8.0,139,145,34.0,2.0,2.82,82.04,10.1,01/01/2022
139,1,12,7,1,34909507,347,69,267.0,11.0,207,140,24.0,1.0,3.17,76.95,10.6,2022-01-01
140,1,12,8,2,33434090,1062,13,1029.0,20.0,509,553,62.0,9.0,1.88,96.89,25.0,2022-01-01
141,1,12,9,5,33476350,832,89,715.0,28.0,417,415,,36.0,3.37,85.94,20.7,2022-01-01
142,1,12,10,5,32655784,394,87,304.0,3.0,194,200,87.0,17.0,0.76,77.16,6.9,01/01/2022
143,1,12,11,1,33872624,904,120,755.0,29.0,521,383,104.0,16.0,3.21,83.52,21.9,2022-01-01
144,1,12,12,5,31493856,774,120,644.0,10.0,494,280,53.0,4.0,1.29,83.2,13.6,2022-01-01
145,1,13,1,3,84702109,3509,203,3270.0,36.0,2167,1342,826.0,164.0,1.03,93.19,19.2,2022-01-01
146,1,13,2,2,82113722,3071,701,2306.0,64.0,1766,1305,177.0,38.0,2.08,75.09,19.5,2022-01-01
147,1,13,3,3,79828648,2392,555,1796.0,41.0,1678,714,495.0,65.0,1.71,75.08,17.9,2022-01-01
148,1,13,4,4,74993275,759,87,652.0,20.0,558,201,,34.0,2.64,85.9,15.9,2022-01-01
149,1,13,5,6,80368378,1402,300,1082.0,20.0,807,595,297.0,50.0,1.43,77.18,17.3,2022-01-01
150,1,13,6,3,83790221,338,71,262.0,5.0,156,182,70.0,18.0,1.48,77.51,4.5,2022-01-01
151,1,13,7,1,73103617,573,48,516.0,9.0,286,287,47.0,10.0,1.57,90.05,9.3,01/01/2022
152,1,13,8,5,77777973,1461,308,1140.0,13.0,567,894,128.0,17.0,0.89,78.03,15.7,2022-01-01
153,1,13,9,1,73049864,3391,347,3029.0,,1768,1623,760.0,158.0,0.44,89.32,20.5,01/01/2022
154,1,13,10,2,84578547,1272,265,965.0,42.0,904,368,243.0,30.0,3.3,75.86,12.8,2022-01-01
155,1,13,11,2,78290655,3233,603,2535.0,95.0,1865,1368,507.0,141.0,2.94,78.41,26.7,2022-01-01
156,1,13,12,1,81657480,484,96,383.0,5.0,187,297,51.0,14.0,1.03,79.13,9.6,2022-01-01
157,1,14,1,3,121233586,8218,105,7869.0,244.0,4670,3548,619.0,154.0,2.97,95.75,42.7,2022-01-01
158,1,14,2,4,106064857,10061,1326,8555.0,180.0,5096,4965,1280.0,179.0,1.79,85.03,42.1,2022-01-01
159,1,14,3,6,108673373,5004,415,4426.0,163.0,2163,2841,285.0,25.0,3.26,88.45,34.9,2022-01-01
160,1,14,4,6,115133639,2070,340,1660.0,70.0,776,1294,,10.0,3.38,80.19,15.5,2022-01-01
161,1,14,5,6,111058987,3195,585,2538.0,72.0,2222,973,671.0,137.0,2.25,79.44,24.2,2022-01-01
162,1,14,6,3,110557355,1253,33,1200.0,20.0,709,544,157.0,38.0,1.6,95.77,6.7,2022-01-01
163,1,14,7,1,106616522,1923,354,1538.0,31.0,1393,530,373.0,34.0,1.61,79.98,9.5,2022-01-01
164,1,14,8,2,105868937,2183,297,1846.0,40.0,1181,1002,543.0,93.0,1.83,84.56,13.6,2022-01-01
165,1,14,9,1,105749008,3611,780,2748.0,83.0,2559,1052,889.0,148.0,2.3,76.1,21.3,2022-01-01
166,1,14,10,2,116868608,3290,422,2777.0,91.0,1981,1309,584.0,154.0,2.77,84.41,20.1,2022-01-01
167,1,14,11,5,108614117,2973,424,2507.0,42.0,1916,1057,631.0,111.0,1.41,84.33,15.9,2022-01-01
168,1,14,12,3,122288401,4027,418,3575.0,34.0,1848,2179,803.0,219.0,0.84,88.78,15.0,2022-01-01
169,1,15,1,6,2801322,91,12,78.0,1.0,57,34,20.0,4.0,,85.71,14.7,2022-01-01
170,1,15,2,5,2858722,125,22,102.0,1.0,79,46,9.0,1.0,0.8,81.6,18.3,2022-01-01
171,1,15,3,1,2852380,116,15,98.0,3.0,57,59,24.0,2.0,2.59,84.48,23.2,01-01-2022
172,1,15,4,4,2806711,18,4,14.0,0.0,9,9,1.0,0.0,0.0,77.78,0.9,2022-01-01
173,1,15,5,1,3048747,30,5,25.0,0.0,22,8,5.0,1.0,0.0,83.33,6.0,01/01/2022
174,1,15,6,2,2899197,61,-14,46.0,-1.0,33,28,3.0,0.0,1.64,75.41,13.8,2022-01-01
175,1,15,7,3,3048803,39,8,31.0,0.0,29,10,8.0,2.0,0.0,79.49,10.0,2022-01-01
176,1,15,8,4,2713956,41,5,36.0,0.0,23,18,9.0,1.0,0.0,87.8,4.6,2022-01-01
177,1,15,9,4,3012574,28,5,23.0,0.0,11,17,6.0,1.0,0.0,82.14,1.3,2022-01-01
178,1,15,10,1,2758037,36,4,32.0,0.0,16,20,7.0,0.0,0.0,88.89,10.5,01/01/2022
179,1,15,11,6,2637002,40,4,36.0,0.0,27,13,8.0,,0.0,90.0,3.6,2022-01-01
180,1,15,12,5,2982390,36,8,28.0,0.0,13,23,5.0,1.0,0.0,77.78,4.8,01/01/2022
181,1,16,1,3,3391323,133,21,111.0,1.0,80,53,19.0,5.0,0.75,83.46,23.7,2022-01-01
182,1,16,2,2,2992286,124,21,99.0,4.0,48,76,24.0,5.0,3.23,79.84,27.6,2022-01-01
183,1,16,3,1,3019911,101,7,93.0,1.0,46,55,23.0,5.0,0.99,92.08,15.6,2022-01-01
184,1,16,4,1,3216017,20,5,15.0,0.0,7,13,4.0,0.0,0.0,75.0,0.0,2022-01-01
185,1,16,5,2,3045958,87,4,81.0,2.0,32,55,19.0,2.0,2.3,93.1,23.4,2022-01-01
186,1,16,6,6,3159003,58,5,53.0,0.0,30,28,,3.0,0.0,91.38,12.3,2022-01-01
187,1,16,7,5,3187148,85,14,69.0,2.0,46,39,6.0,0.0,2.35,81.18,19.6,2022-01-01
188,1,16,8,4,3295568,40,7,32.0,1.0,22,18,7.0,1.0,2.5,80.0,10.3,2022-01-01
189,1,16,9,6,2937841,125,1,120.0,4.0,67,58,15.0,3.0,3.2,96.0,32.8,2022-01-01
190,1,16,10,2,3282798,57,5,52.0,0.0,40,17,7.0,2.0,0.0,91.23,6.4,2022-01-01
191,1,16,11,2,3142758,79,5,73.0,1.0,50,29,4.0,,1.27,92.41,16.1,2022-01-01
192,1,16,12,1,3021382,38,9,28.0,1.0,14,24,4.0,1.0,2.63,73.68,16.0,2022-01-01
193,1,17,1,3,1192532,59,8,51.0,0.0,26,33,12.0,1.0,0.0,86.44,19.9,2022-01-01
194,1,17,2,4,1179850,61,8,52.0,1.0,36,25,8.0,,1.64,85.25,27.4,2022-01-01
195,1,17,3,6,1050444,28,7,21.0,0.0,20,8,,1.0,0.0,75.0,10.0,2022-01-01
196,1,17,4,3,1124443,13,4,9.0,0.0,5,8,3.0,0.0,0.0,69.23,8.7,2022-01-01
197,1,17,5,6,1104177,23,3,20.0,0.0,12,11,3.0,0.0,0.0,86.96,8.0,2022-01-01
198,1,17,6,1,1174153,7,2,5.0,0.0,3,4,0.0,0.0,0.0,71.43,4.8,2022-01-01
199,1,17,7,2,1072170,9,2,7.0,0.0,4,5,1.0,0.0,0.0,77.78,4.4,2022-01-01
200,1,17,8,4,1033332,30,4,26.0,0.0,18,12,2.0,0.0,0.0,86.67,14.3,2022-01-01
201,1,17,9,2,1118243,20,5,15.0,0.0,8,12,2.0,0.0,0.0,75.0,11.6,2022-01-01
202,1,17,10,6,1152752,20,3,17.0,0.0,11,9,4.0,0.0,0.0,85.0,9.4,2022-01-01
203,1,17,11,3,1052559,12,1,11.0,0.0,8,4,1.0,0.0,0.0,91.67,4.5,2022-01-01
204,1,17,12,1,1047770,10,2,8.0,0.0,3,7,2.0,0.0,0.0,80.0,4.9,2022-01-01
205,1,18,1,3,2168911,119,20,97.0,2.0,77,42,21.0,,1.68,81.51,29.4,2022-01-01
206,1,18,2,5,2062206,85,1,82.0,2.0,38,47,8.0,0.0,2.35,96.47,24.0,2022-01-01
207,1,18,3,5,2144836,172,16,153.0,3.0,74,98,38.0,10.0,1.74,88.95,44.6,2022-01-01
208,1,18,4,1,2050603,28,1,27.0,0.0,12,16,6.0,1.0,0.0,96.43,4.6,2022-01-01
209,1,18,5,3,1932275,35,6,29.0,0.0,16,19,6.0,0.0,0.0,82.86,4.2,2022-01-01
210,1,18,6,3,2086438,31,3,28.0,0.0,14,17,4.0,0.0,0.0,90.32,3.8,01/01/2022
211,1,18,7,5,2016747,30,4,26.0,0.0,12,18,1.0,0.0,0.0,86.67,7.9,2022-01-01
212,1,18,8,6,1919513,46,2,43.0,1.0,32,14,2.0,0.0,2.17,93.48,17.5,2022-01-01
213,1,18,9,4,1988689,21,3,,0.0,9,12,5.0,0.0,0.0,85.71,4.5,2022-01-01
214,1,18,10,5,2126293,31,3,28.0,0.0,18,13,1.0,0.0,0.0,90.32,8.1,2022-01-01
215,1,18,11,5,2020115,84,13,71.0,0.0,30,54,14.0,1.0,0.0,84.52,16.3,2022-01-01
216,1,18,12,1,2184136,41,1,,1.0,14,27,3.0,0.0,2.44,95.12,20.9,2022-01-01
217,1,19,1,1,43712244,645,12,612.0,21.0,245,400,157.0,29.0,3.26,94.88,20.2,2022-01-01
218,1,19,2,5,42728381,1737,340,1361.0,36.0,1115,622,343.0,23.0,2.07,78.35,28.4,2022-01-01
219,1,19,3,6,46000276,1267,70,1154.0,43.0,554,713,156.0,14.0,3.39,91.08,23.5,2022-01-01
220,1,19,4,2,41234942,580,80,483.0,17.0,346,234,127.0,14.0,2.93,83.28,19.3,2022-01-01
221,1,19,5,1,44686243,382,87,293.0,2.0,144,238,70.0,9.0,0.52,76.7,5.4,2022-01-01
222,1,19,6,3,40246656,265,29,229.0,7.0,193,72,-,9.0,2.64,86.42,12.3,2022-01-01
223,1,19,7,6,42509898,990,209,775.0,6.0,459,531,185.0,11.0,,78.28,8.9,2022-01-01
224,1,19,8,6,39535890,649,151,491.0,7.0,396,253,112.0,16.0,1.08,75.65,6.3,2022-01-01
225,1,19,9,5,43025328,664,39,616.0,9.0,390,274,83.0,15.0,1.36,92.77,6.5,2022-01-01
226,1,19,10,4,41422260,564,42,520.0,2.0,333,231,134.0,,0.35,92.2,9.8,2022-01-01
227,1,19,11,6,41780549,1505,3,1453.0,49.0,856,649,87.0,14.0,3.26,96.54,22.5,2022-01-01
228,1,19,12,2,40351212,1794,86,1678.0,30.0,1329,465,205.0,34.0,1.67,93.53,24.1,2022-01-01
229,1,20,1,6,29969675,649,85,558.0,6.0,468,181,44.0,6.0,0.92,85.98,13.6,2022-01-01
230,1,20,2,6,29994019,770,94,653.0,23.0,389,381,81.0,21.0,2.99,84.81,22.1,2022-01-01
231,1,20,3,2,26774591,783,127,654.0,2.0,330,453,70.0,15.0,0.26,83.52,15.5,2022-01-01
232,1,20,4,3,29648912,407,50,,10.0,235,172,49.0,12.0,2.46,85.26,11.3,2022-01-01
233,1,20,5,1,29815136,408,84,317.0,7.0,164,244,39.0,9.0,1.72,77.7,15.0,2022-01-01
234,1,20,6,2,26388274,420,4,406.0,10.0,234,186,49.0,4.0,2.38,96.67,14.4,2022-01-01
235,1,20,7,5,25733137,577,93,466.0,18.0,257,320,not reported,2.0,3.12,80.76,16.7,2022-01-01
236,1,20,8,3,26497546,242,37,202.0,3.0,93,149,28.0,3.0,1.24,83.47,3.0,2022-01-01
237,1,20,9,4,29396889,973,105,837.0,31.0,641,332,152.0,19.0,3.19,86.02,28.4,2022-01-01
238,1,20,10,5,29061959,1063,49,985.0,29.0,412,651,118.0,33.0,2.73,92.66,30.8,2022-01-01
239,1,20,11,6,26830796,271,22,249.0,0.0,187,84,56.0,11.0,0.0,91.88,0.5,2022-01-01
240,1,20,12,1,29620250,719,126,581.0,12.0,504,215,92.0,14.0,108.2,129.2,14.7,2022-01-01
